day_of_week,meal_type,item_name,calories,protein_g,carbs_g,fat_g
0,breakfast,Eggs and Avocado Toast with Bacon,580,32,45,32
0,lunch,Double Chicken Burrito Bowl,720,55,65,28
0,dinner,Ribeye Steak with Mashed Potatoes,850,52,55,48
0,snack,Mass Gainer Shake,450,35,60,10
0,snack2,Peanut Butter Banana Sandwich,420,16,52,18
1,breakfast,Pancakes with Eggs and Sausage,680,35,70,28
1,lunch,Pasta with Meat Sauce,750,42,85,26
1,dinner,Grilled Salmon with Rice Pilaf,720,48,60,32
1,snack,Trail Mix with Dried Fruit,380,12,42,20
1,snack2,Chocolate Milk and Granola Bar,350,14,52,10
2,breakfast,Oatmeal with Protein and Nuts,520,32,58,18
2,lunch,Turkey Club Sandwich with Fries,780,45,72,34
2,dinner,Chicken Alfredo Pasta,820,48,75,36
2,snack,Greek Yogurt Parfait,320,22,38,10
2,snack2,Protein Smoothie Bowl,400,28,48,12
3,breakfast,French Toast with Berries,550,28,68,20
3,lunch,Beef Tacos with Rice and Beans,720,42,78,26
3,dinner,Pork Chops with Sweet Potato,680,45,52,32
3,snack,Cottage Cheese with Fruit,280,24,28,8
3,snack2,Bagel with Cream Cheese,380,12,58,12
4,breakfast,Breakfast Burrito Grande,650,38,55,32
4,lunch,Chicken Fried Rice,680,40,72,24
4,dinner,Lamb Chops with Couscous,780,48,58,40
4,snack,Protein Bar and Banana,380,24,48,10
4,snack2,Cheese and Crackers,320,14,28,18
5,breakfast,Belgian Waffles with Eggs,620,30,72,24
5,lunch,Pulled Pork Sandwich with Coleslaw,750,42,65,34
5,dinner,Surf and Turf with Baked Potato,880,58,55,48
5,snack,Hummus with Pita Bread,340,12,42,14
5,snack2,Milkshake with Whey Protein,450,32,52,14
6,breakfast,Full English Breakfast,720,42,48,42
6,lunch,Fish and Chips,780,38,82,32
6,dinner,BBQ Ribs with Cornbread,850,45,68,44
6,snack,Mixed Nuts and Dark Chocolate,400,10,32,28
6,snack2,Protein Ice Cream,280,24,28,8
